IDCode,gmm_bic_best_label,TOTAL,risk_score_z,risk_level
paxi044,3,9,2.7524571209645567,high
pivi588,1,52,-1.3642673211771936,low
weda047,4,48,-0.9533030158172756,low
zoka501,0,38,0.13267750327613428,medium
hyku415,2,42,-0.32310397654084383,low
syvi476,3,22,1.7100766986691471,high
hopi338,6,33,0.74113498125234,medium
kuqy630,2,45,-0.45959146743392243,low
node314,0,36,0.31648348524193165,medium
mybu425,0,39,0.06903791442767816,medium
pyqy867,4,45,-0.5116366605737267,low
tywo507,4,47,-0.7824937052807645,low
nuhi137,5,30,0.9264332405753108,high
mory430,6,29,1.1608370630628038,high
vuho146,0,35,0.4297237683219981,medium
nysa238,5,30,0.9207672206110799,high
kisa730,2,42,-0.18386268172747847,low
doza768,5,35,0.6049664041111951,medium
sapu497,0,36,0.33039224143671153,medium
dila385,0,41,-0.12583861424450493,medium
pymu787,2,33,0.6035050983521895,medium
bejy525,0,40,-0.06443831810505525,medium
bajo794,4,43,-0.37954782751540084,low
dugu064,5,28,1.0351942310242275,high
hiwu738,4,47,-0.7621648695390483,low
zucy684,2,45,-0.5493006617727504,low
huxe147,0,36,0.3693965885773151,medium
woza563,0,35,0.4542526366442456,medium
neku787,4,44,-0.4457924605108525,low
navo572,0,37,0.2413718271270848,medium
gola051,0,38,0.15301950773586206,medium
pyzo535,3,19,2.150026455506035,high
xoky149,0,38,0.23281421170776678,medium
loxu319,1,51,-1.3106012309085795,low
qisu640,5,30,0.8833078777989544,high
gery678,3,20,2.0419330555420716,high
huho039,2,44,-0.3371666420068881,low
wozo826,5,27,1.2226266465553002,high
soru820,5,26,1.2664547393261196,high
fari709,3,16,2.3056472127829837,high
qapo730,5,32,0.7464535486606122,medium
najy705,5,33,0.8163058638677345,high
sejy814,4,47,-0.7488565851116965,low
laze716,0,40,-0.05692439460078571,medium
kojo378,5,26,1.3396932800821721,high
tepu554,4,47,-0.7775756313627326,low
dyva324,5,26,1.2516691155558546,high
pusu302,3,14,2.4434188105875876,high
xamy888,0,37,0.3021470959681422,medium
ninu744,3,22,1.7283578470376844,high
punu537,0,38,0.14599371935480804,medium
zufa556,3,12,2.437841167290561,high
losy787,5,24,1.5589540193142413,high
fuxa711,5,33,0.6873991537047028,medium
myzo000,0,42,-0.20588234352424695,low
jygo886,5,27,1.1953188184071488,high
dyzo734,3,5,3.0049341521791697,high
ciky680,4,47,-0.77314818283198,low
nopo152,5,31,0.8549586482443111,high
tivy194,0,36,0.37022307617537725,medium
biry098,5,33,0.7520007020277009,medium
tebo981,4,48,-0.9675530483229958,low
jyma323,4,44,-0.5081280558475004,low
cani065,4,45,-0.6096047097271804,low
puxi257,5,30,0.97956642914389,high
jemy201,0,39,0.07874857031252144,medium
woqa919,4,44,-0.3995070390274984,low
huze427,5,26,1.3166850607311924,high
jaxe723,4,46,-0.6498703386708515,low
xamy676,0,37,0.30614288934978773,medium
lowy720,2,41,-0.12654953904826302,medium
mixa281,5,32,0.7528694949865194,medium
sipy389,5,24,1.5814252153641541,high
bube109,4,44,-0.40975498147725,low
boqe999,4,48,-1.0386923472283731,low
guzo911,0,41,-0.039050320729749635,medium
guxe800,0,40,-0.03528100467080702,medium
dove442,0,38,0.16878101274427804,medium
zivi062,0,37,0.19368713304037982,medium
lury747,5,30,0.9279785315819639,high
tuve726,0,39,0.08581416080446963,medium
vihu826,2,45,-0.4820841902331172,low
hata313,0,36,0.3601660261723514,medium
hoki309,5,31,0.8670095867621466,high
kyzy131,5,30,0.9633573988487978,high
syti148,4,44,-0.46084679503433823,low
syco853,1,50,-1.1533867445726032,low
sefy975,5,31,0.8672118810839734,high
jese656,4,46,-0.6598805383455205,low
guge611,5,32,0.7917071642560146,medium
mesi806,2,36,0.3737140399306531,medium
sesi698,4,46,-0.7150619759131229,low
gopa505,2,39,0.021446731110720103,medium
duwi894,4,45,-0.5539439647811341,low
hasa034,0,38,0.21118666890239932,medium
magu282,6,47,-0.4846611910297711,low
pile112,1,50,-1.1558497604083717,low
sivi804,0,36,0.3569959450598439,medium
maho931,2,34,0.531329608516836,medium
waho571,0,37,0.2732598739339751,medium
mowy859,5,31,0.915667051499545,high
rihi168,5,24,1.5425833210456366,high
siry766,2,41,-0.10210429802139938,medium
qefe646,5,26,1.365320688983241,high
zojo883,1,50,-1.1000005347428434,low
dero258,4,46,-0.7452005702985892,low
mika525,0,35,0.39664720915828455,medium
xohi599,4,45,-0.5564182849252187,low
tebe135,2,37,0.2507418810133909,medium
naso669,5,29,1.1227295032023052,high
qecu035,2,47,-0.7203544052232557,low
zywy107,0,38,0.16244803772306934,medium
cave700,5,30,0.9365226678970956,high
nupy082,4,47,-0.8479875212143372,low
hoge626,1,51,-1.2813031464966629,low
nivo041,2,46,-0.5730355851023923,low
karo919,5,25,1.3347035787278476,high
vuhe805,0,39,0.07673571737079188,medium
kebi083,4,43,-0.36767459016550263,low
faly535,5,34,0.6133618105818178,medium
gelo627,5,31,0.9297157229232986,high
vili771,4,46,-0.7272191705619644,low
katu927,4,43,-0.3588964505517876,low
xiza150,5,28,1.04390072778833,high
bevi590,4,46,-0.6634738035531775,low
huve181,5,33,0.7550334315643003,medium
fite050,4,47,-0.7548576185896178,low
nysu060,4,45,-0.5845554118650473,low
kaho190,0,39,0.09042219386097781,medium
lany944,1,52,-1.55035476811937,low
maqu534,0,41,-0.11496167045044972,medium
wuga870,0,40,0.03960863192290386,medium
wyva352,2,44,-0.4084583586922552,low
hime464,0,41,-0.12114735422680346,medium
jexu775,0,42,-0.20895760479035247,low
tuga736,0,35,0.4359311440807874,medium
hyfe498,5,31,0.9183564974699417,high
bomo360,4,48,-0.8549688197472549,low
lomo204,1,55,-1.9090864151859317,low
mipe544,4,43,-0.3772198248166583,low
hufy497,4,48,-0.9131858575085104,low
rapo919,2,43,-0.2989819757128851,low
gata076,3,20,1.9361956026349234,high
muvo194,5,31,0.987099889817492,high
cywo537,0,41,-0.09025145881263409,medium
xamy327,2,35,0.46277552377063025,medium
cogu074,4,46,-0.6768764241231794,low
rapo615,5,27,1.2943451308292744,high
zady580,5,34,0.7068834861085966,medium
nujo284,0,42,-0.16116063997846938,medium
syzu625,2,38,0.07199776274625792,medium
myte214,2,41,-0.10809797169363193,medium
tyzo440,5,33,0.7251726907918393,medium
vyzo298,4,45,-0.6620279171782584,low
hiwu589,2,38,0.2065230670584268,medium
sazy810,4,46,-0.6737262325866484,low
turi097,0,38,0.1584016246368725,medium
foji729,0,42,-0.21065135192391277,low
dexe201,4,46,-0.5959779396853381,low
dosu709,0,41,-0.11225272908601812,medium
doxe392,2,33,0.6837346477253499,medium
culu497,0,40,-0.0391720371873967,medium
lije367,1,52,-1.4427473627153322,low
vice024,4,47,-0.7194235827368078,low
